"","Species","min_long","max_long","mid_long","min_lat","max_lat","mid_lat"
"1","Acroteriobatus annulatus",14,32,21,-36.5,-22,-32.5
"2","Acroteriobatus blochii",11.5,18.5,15.5,-34.5,-16.5,-27.75
"3","Acroteriobatus leucospilus",28.5,50.5,40.75,-32.5,-4.5,-18.5
"4","Acroteriobatus ocellatus",20,35.5,27.5,-35.5,-24.5,-33.5
"5","Acroteriobatus omanensis",53.5,60.5,58,16,26,20
"6","Acroteriobatus salalah",53.5,68,60,16,25.5,22.5
"7","Acroteriobatus variegatus",69.5,83,75.5,5,22.5,10.5
"8","Acroteriobatus zanzibarens",39,39.5,39.25,-6.5,-5.5,-6
"9","Aculeola nigra",-81,-70,-75.5,-31.5,-6,-15.5
"10","Aetobatus flagellum",32.5,135.5,76.75,-6.5,36,19
"11","Aetobatus narinari",-180,180,94.5,-35,35,3
"12","Aetobatus ocellatus",-180,180,112,-35,31.5,-3
"13","Aetomylaeus asperrimus",-91.5,-78,-85,-1.5,11,8.5
"14","Aetomylaeus bovinus",-19,41.5,11.5,-36.5,46,30
"15","Aetomylaeus caeruleofasciatus",116,154.5,138.75,-26,-7.5,-14
"16","Aetomylaeus maculatus",77.5,122,106,-7.5,28.5,9.5
"17","Aetomylaeus milvus",47.5,73,58,16,30.5,24.5
"18","Aetomylaeus nichofii",34,141,120,-25.5,41,7
"19","Aetomylaeus vespertilio",32.5,170,112,-27,30,3.5
"20","Alopias pelagicus",-180,180,68.5,-37.5,37,-1.5
"21","Alopias superciliosus",-180,180,-5.5,-42,54.5,2
"22","Alopias vulpinus",-180,180,-28.5,-58,66.5,-4.5
"23","Amblyraja doellojuradoi",-76,-53,-63,-57,-34,-49.5
"24","Amblyraja hyperborea",-180,180,-28.5,-74,82,53
"25","Amblyraja radiata",-78,38.5,-19.5,36.5,79.5,61.5
"26","Anacanthobatis americana",32.5,71.5,50,10.5,30.5,22
"27","Anacanthobatis folirostris",-55,-44,-50,-1.5,7.5,3.5
"28","Anacanthobatis longirostris",-87.5,-53.5,-73.75,7,21,11.5
"29","Anacanthobatis marmorata",31,35.5,33,-30.5,-24,-26.5
"30","Anoxypristis cuspidata",41.5,159.5,119,-28.5,41,2.5
"31","Apristurus albisoma",161,170,168,-27.5,-22,-24.5
"32","Apristurus ampliceps",113.5,178.5,169,-49,-33.5,-43.5
"33","Apristurus aphyodes",-29.5,-2,-10.5,45.5,66,62
"34","Apristurus australis",111.5,155,149,-45.5,-14.5,-31
"35","Apristurus breviventralis",51.5,55.5,53.5,11,13.5,12.5
"36","Apristurus brunneus",-152.5,-77.5,-118,-5,60,31.25
"37","Apristurus bucephalus",114.5,115.5,115,-32.5,-31.5,-32
"38","Apristurus canutus",-80,-61,-63,11.5,25.5,17
"39","Apristurus exsanguis",-180,180,171,-55,-32.5,-44.5
"40","Apristurus fedorovi",141.5,146.5,143.75,37,43,41
"41","Apristurus garricki",-180,180,174,-45.5,-24,-40.5
"42","Apristurus gibbosus",112.5,126.5,122.5,18.5,28,24.5
"43","Apristurus herklotsi",114.5,139.5,127,7,35,26.25
"44","Apristurus indicus",43.5,55.5,49.5,1.5,16,11.5
"45","Apristurus investigatoris",93,95,94,6.5,14,12
"46","Apristurus japonicus",123.5,142,136.5,23,37,32.5
"47","Apristurus kampae",-125.5,-91,-115.5,-2,42.5,29
"48","Apristurus laurussonii",-36.5,-1.5,-14.5,27.5,73,62.5
"49","Apristurus longicephalus",33.5,168.5,124,-27,38.5,16.5
"50","Apristurus macrorhynchus",116.5,141,122,19.5,35.5,26.5
"51","Apristurus macrostomus",92,148,101,-9.5,33.5,2.5
"52","Apristurus manis",-71.5,14.5,-12.5,-29.5,58,40
"53","Apristurus melanoasper",-76,180,129,-52.5,64.5,-32.5
"54","Apristurus microps",-71,25.5,14.5,-37,58.5,-29.5
"55","Apristurus nakayai",157.5,158,157.75,-21.5,-21,-21.25
"56","Apristurus nasutus",-82,-70,-77,-39,9,-13.5
"57","Apristurus parvipinnis",-96,-48.5,-81.5,4,29.5,12
"58","Apristurus pinguis",94.5,178.5,142.5,-45,29.5,-32.5
"59","Apristurus platyrhynchus",113,168.5,140.5,-36,36,5.5
"60","Apristurus profundorum",-74.5,-16.5,-48,13.5,62.5,48
"61","Apristurus riveri",-97.5,-62,-81,9,29.5,19.5
"62","Apristurus saldanha",11,22.5,14.5,-37,-17.5,-29
"63","Apristurus sinensis",110.5,153,116.5,-45,22.5,11.5
"64","Apristurus spongiceps",-171,123,-160,-7,26.5,22
"65","Apristurus stenseni",-82,-78.5,-80.75,6.5,7.5,7
"66","Apristurus yangi",147.5,150.5,149,-6,-2.5,-4.25
"67","Aptychotrema rostrata",146.5,154.5,152,-37,-18.5,-24.5
"68","Aptychotrema timorensis",130,130.5,130,-11.5,-10.5,-11
"69","Aptychotrema vincentiana",112,147.5,124.5,-39.5,-18.5,-33.5
"70","Arhynchobatis asperrimus",165.5,179.5,172,-47,-33,-40.5
"71","Asymbolus analis",148,154.5,152.25,-38.5,-26.5,-33.25
"72","Asymbolus funebris",114.5,115.5,115,-35.5,-34,-34.5
"73","Asymbolus galacticus",166.5,168,167.25,-27.5,-25.5,-26.5
"74","Asymbolus occiduus",113.5,133,124,-36.5,-31.5,-34
"75","Asymbolus pallidus",146.5,157,152,-24,-15,-19
"76","Asymbolus parvus",111.5,124,117.5,-27,-14.5,-19.5
"77","Asymbolus rubiginosus",146,155,150.5,-45,-26.5,-37
"78","Asymbolus submaculatus",114,129.5,120.5,-36,-31,-34
"79","Asymbolus vincenti",113.5,149,134.5,-43.5,-31.5,-35.5
"80","Atelomycterus baliensis",115,115,115,-9,-8.5,-8.75
"81","Atelomycterus fasciatus",114,121,117.5,-22.5,-18,-20
"82","Atelomycterus macleayi",118.5,131.5,125.5,-20.5,-9.5,-14
"83","Atelomycterus marmoratus",61,148.5,108.5,-10.5,26,8.5
"84","Atelomycterus marnkalha",132.5,154,141.5,-24,-9,-14.5
"85","Atlantoraja castelnaui",-65.5,-42,-56.5,-44.5,-22.5,-36.5
"86","Atlantoraja cyclophora",-65,-42.5,-55,-43,-23,-35.5
"87","Atlantoraja platana",-65.5,-41,-57,-46.5,-22,-38.5
"88","Aulohalaelurus kanakorum",165,167,166,-23.5,-21.5,-22.5
"89","Aulohalaelurus labiosus",113,123.5,115.5,-36,-28,-34
"90","Bathyraja abyssicola",-180,180,-127,31,60,51.5
"91","Bathyraja albomaculata",-76.5,-53.5,-64,-57.5,-25.5,-48.5
"92","Bathyraja aleutica",-180,180,143.5,35.5,62.5,53.5
"93","Bathyraja andriashevi",141,154.5,149,35,52,48.5
"94","Bathyraja bergi",129.5,152,141.5,36,51,44.5
"95","Bathyraja brachyurops",-76,-53,-63.5,-57,-30,-46.5
"96","Bathyraja cousseauae",-70,-54,-59,-57.5,-36.5,-48.5
"97","Bathyraja diplotaenia",140.5,146,142.5,36,46.5,42
"98","Bathyraja eatonii",-61,168,34.25,-76.5,-47,-62
"99","Bathyraja fedorovi",131.5,161,147.5,30.5,61,50
"100","Bathyraja griseocauda",-76.5,-53.5,-63.5,-57.5,-29,-48.5
"101","Bathyraja hesperafricana",-26,11,-9,-4.5,21.5,5.5
"102","Bathyraja interrupta",-180,180,-153.5,31,61,54.5
"103","Bathyraja irrasa",68,75,72,-54,-47,-51.5
"104","Bathyraja ishiharai",110.5,112.5,111.5,-34.5,-32.5,-33.5
"105","Bathyraja isotrachys",121.5,161,143.5,24,58,46
"106","Bathyraja leucomelanos",157.5,158.5,158,-22,-21,-21.5
"107","Bathyraja lindbergi",-180,180,-149.5,49.5,63,56.5
"108","Bathyraja maccaini",-64.5,72.5,-55.5,-68.5,-46.5,-62
"109","Bathyraja macloviana",-75.5,-52.5,-62.5,-55.5,-34.5,-47
"110","Bathyraja maculata",-180,180,144,42,62.5,54
"111","Bathyraja magellanica",-69.5,-57,-63.5,-55.5,-41,-49.5
"112","Bathyraja mariposa",-180,-172.5,-176.5,50.5,53.5,52
"113","Bathyraja matsubarai",141,146.5,143.5,37,46.5,42
"114","Bathyraja meridionalis",-73.5,-34.5,-61.5,-56,-37.5,-49
"115","Bathyraja minispinosa",-180,180,145,42,62.5,54.5
"116","Bathyraja multispinis",-76,-47,-63,-57,-27,-48.5
"117","Bathyraja murrayi",67,75,70.5,-53.5,-47,-49.5
"118","Bathyraja pacifica",169,171,170,-36,-34,-35
"119","Bathyraja pallida",-40.5,-10,-39.5,51.5,58.5,52.5
"120","Bathyraja panthera",171,180,176,50.5,54.5,52.5
"121","Bathyraja papilionifera",-61.5,-53.5,-57.5,-53.5,-36.5,-42
"122","Bathyraja parmifera",-180,180,140,41,63,54.5
"123","Bathyraja peruana",-81.5,-68,-74.5,-57,1,-30
"124","Bathyraja richardsoni",-180,180,165.5,-49.5,56.5,-35
"125","Bathyraja scaphiops",-67,-53,-61,-55,-35.5,-49.5
"126","Bathyraja schroederi",-76.5,-52,-74.5,-56,-35,-45
"127","Bathyraja shuntovi",-168,180,172.5,-52.5,-33,-43
"128","Bathyraja smirnovi",127.5,170,147,35.5,62.5,54
"129","Bathyraja smithii",12.5,22.5,15.5,-37,-22,-30.5
"130","Bathyraja spinicauda",-70.5,40.5,-16,37.5,81.5,66
"131","Bathyraja spinosissima",-125.5,-84,-107.5,4.5,43.5,22.5
"132","Bathyraja taranetzi",-180,180,156.5,44,62,52.5
"133","Bathyraja trachouros",141,147,143.5,37.5,46.5,42.5
"134","Bathyraja trachura",-180,180,-130.5,28,65,54.5
"135","Bathyraja tunae",44.5,46,45,-30.5,-29,-30
"136","Bathyraja tzinovskii",142.5,156.5,151,37.5,49.5,47.5
"137","Bathyraja violacea",-180,180,150,41.5,62.5,53.5
"138","Benthobatis kreffti",-52,-44,-48,-34.5,-24.5,-30
"139","Benthobatis marcida",-82.5,-59.5,-77,9.5,29,22.5
"140","Benthobatis moresbyi",48.5,78,72.5,4,22.5,16
"141","Benthobatis yangi",119.5,120.5,120,22.5,23,22.5
"142","Brachaelurus colcloughi",149,154,152,-29,-20,-22.5
"143","Brachaelurus waddi",150.5,154.5,153,-35,-27.5,-32
"144","Breviraja claramaculata",-80,-79.5,-80,25,29,27
"145","Breviraja colesi",-85,-70.5,-77.5,20,28,23
"146","Breviraja mouldi",-83.5,-80.5,-81.5,9.5,16.5,13.5
"147","Breviraja nigriventralis",-81,-51,-71.5,6,13,9.5
"148","Breviraja spinosa",-96,-77,-80,19,33,26.25
"149","Brochiraja aenigma",167,168.5,167.75,-33,-31.5,-32.5
"150","Brochiraja albilabiata",171,173,172,-35.5,-33,-34
"151","Brochiraja asperula",-180,180,172.5,-55,-33,-46.5
"152","Brochiraja heuresa",167,169.5,168,-35.5,-31.5,-33.5
"153","Brochiraja leviveneta",-180,180,172.5,-54.5,-33,-44.5
"154","Brochiraja microspinifera",171,179.5,177,-42.5,-33,-37.5
"155","Brochiraja spinifera",-178,179.5,172,-54,-33.5,-42.5
"156","Brochiraja vittacauda",167,169.5,168.5,-35.5,-33,-34.5
"157","Bythaelurus alcockii",65.5,66.5,66,22.5,23.5,23
"158","Bythaelurus bachi",43.5,45.5,45,-34,-32,-33
"159","Bythaelurus canescens",-81.5,-67.5,-74,-57,-3.5,-37
"160","Bythaelurus clevai",43.5,44,43.75,-24.5,-23.5,-24
"161","Bythaelurus dawsoni",163,178.5,170.5,-55,-42,-49
"162","Bythaelurus giddingsi",-91.5,-89,-90,-1.5,0.5,-0.5
"163","Bythaelurus hispidus",39.5,95,92,-5,14.5,10
"164","Bythaelurus immaculatus",112.5,114.5,113.5,18.5,20,19
"165","Bythaelurus incanus",123.5,124.5,124,-13,-12,-12.5
"166","Bythaelurus lutarius",33,36,34.75,-26.5,-20.5,-25.5
"167","Bythaelurus naylori",45.5,55.5,50.5,-40.5,-34,-38
"168","Bythaelurus tenuicephalus",36,40,39.5,-22.5,-4.5,-6
"169","Carcharhinus acronotus",-81.5,-48,-64.5,-57,-3.5,-45
"170","Carcharhinus albimarginatus",13.5,31,18,-36.5,-22,-32.25
"171","Carcharhinus altimus",122,179.5,150.5,-48.5,-31.5,-39
"172","Carcharhinus amblyrhynchoides",-98,-34,-74,-36,39.5,17
"173","Carcharhinus amblyrhynchos",-180,180,48,-28.5,31,4.5
"174","Carcharhinus amboinensis",-180,180,-14,-37,42,10.5
"175","Carcharhinus borneensis",-93,155,111,-26,30.5,2.5
"176","Carcharhinus brachyurus",-180,180,113.5,-32,30,-2
"177","Carcharhinus brevipinna",4.5,154.5,110.5,-37.5,40,-1.5
"178","Carcharhinus cautus",105,129,118,-9.5,22,6.5
"179","Carcharhinus cerdale",-120.5,179,119,-52.5,44.5,-29
"180","Carcharhinus coatesi",-98,154,94,-37.5,41.5,4.5
"181","Carcharhinus dussumieri",113,162.5,141.5,-28,-4.5,-15
"182","Carcharhinus falciformis",-115,-70.5,-87,-18,31.5,12
"183","Carcharhinus fitzroyensis",112,154,137,-27,-2.5,-14
"184","Carcharhinus galapagensis",47.5,80.5,64,7,30.5,23
"185","Carcharhinus hemiodon",-180,180,-22,-38,41.5,1
"186","Carcharhinus humani",114,152,134.5,-23.5,-9.5,-14.5
"187","Carcharhinus isodon",-179.5,177.5,-10,-33.5,43,-9
"188","Carcharhinus leiodon",56.5,152,115.5,-14.5,26.5,-0.5
"189","Carcharhinus leucas",30.5,56.5,39.5,-30.5,29,-13
"190","Carcharhinus limbatus",-98,-13,-78.5,-37.5,41.5,23.5
"191","Carcharhinus longimanus",47.5,62.5,54.5,14,30.5,24.5
"192","Carcharhinus macloti",-153,180,39,-38,43.5,2
"193","Carcharhinus melanopterus",-180,180,37,-35,46,9.5
"194","Carcharhinus obscurus",-180,180,-11.5,-42.5,46,0
"195","Carcharhinus obsoletus",39,152,116,-23.5,35,2.5
"196","Carcharhinus perezi",-180,180,113,-44.5,37,0
"197","Carcharhinus plumbeus",-121,180,20.75,-45,43,2
"198","Carcharhinus porosus",99,114,107.5,1.5,13.5,9
"199","Carcharhinus sealei",-98,-31.5,-75,-35.5,31,17.5
"200","Carcharhinus signatus",-161.5,169.5,50.5,-37,46,13
"201","Carcharhinus sorrah",-98,-33.5,-59.75,-34.5,30.5,8.5
"202","Carcharhinus tilstoni",32.5,152,110.5,-28.5,25.5,-1
"203","Carcharhinus tjutjot",-85.5,14,-56.5,-42.5,42,7
"204","Carcharias taurus",31.5,170,108.5,-29.5,31,1.5
"205","Carcharodon carcharias",114.5,155.5,138.5,-34.5,-10,-15.5
"206","Centrophorus atromarginatus",104.5,141,122.5,-11.5,26,-3.5
"207","Centrophorus granulosus",-98,154.5,67,-48.5,46,9
"208","Centrophorus harrissoni",-180,180,-25.5,-59.5,59.5,-3.5
"209","Centrophorus isodon",47.5,147.5,115.5,-9,35.5,9.5
"210","Centrophorus longipinnis",-176.5,180,120.5,-53,71.5,18.5
"211","Centrophorus moluccensis",-180,179.5,152.5,-44,-24.5,-33
"212","Centrophorus seychellorum",107.5,124.5,115,-9,25.5,16.5
"213","Centrophorus squamosus",104.5,155,125,-10.5,27,-7.5
"214","Centrophorus tessellatus",23,170.5,128.75,-38,34.5,-19
"215","Centrophorus uyato",52.5,53,53,-7,-6.5,-7
"216","Centrophorus westraliensis",-180,180,18.5,-47.5,65.5,11
"217","Centroscyllium excelsum",-161.5,142.5,119.5,9.5,37.5,24
"218","Centroscyllium fabricii",-97.5,153,14.5,-44,50,16
"219","Centroscyllium granulatum",111.5,116.5,113.5,-35,-8.5,-30
"220","Centroscyllium kamoharai",170.5,173.5,171.5,32,41.5,35.5
"221","Centroscyllium nigrum",-97.5,21,-26.5,-57.5,73.5,60
"222","Centroscyllium ornatum",-76,-71.5,-74.5,-52,-33.5,-43
"223","Centroscyllium ritteri",112.5,155,140.5,-44.5,35.5,-30
"224","Centroscymnus coelolepis",-158.5,-70,-87.5,-54,34.5,7
"225","Centroscymnus crepidater",131.5,147.5,141.5,31.5,45.5,38
"226","Centroscymnus owstonii",62,94,70.5,18,24,20
"227","Centroscymnus plunketi",32.5,154.5,113,-30,30.5,1.5
"228","Cephaloscyllium albipinnum",-80,180,14.5,-54.5,68.5,21.5
"229","Cephaloscyllium cooki",-106,180,126.5,-48,40.5,-32
"230","Cephaloscyllium fasciatum",-180,180,-6,-48,64,10
"231","Cephaloscyllium hiscosellum",128.5,152,143.5,-45.5,-33,-38.5
"232","Cephaloscyllium isabellum",129,136,132,-12.5,-6.5,-10.5
"233","Cephaloscyllium laticeps",109,124.5,120.5,8.5,23,15
"234","Cephaloscyllium pictum",111,120.5,113.5,-30,-17,-22
"235","Cephaloscyllium sarawakensis",-180,180,173,-51,-34,-42.5
"236","Cephaloscyllium signourum",123.5,154,143.5,-45,-30,-36.5
"237","Cephaloscyllium silasi",114.5,117.5,115.5,-9,-8,-8.5
"238","Cephaloscyllium speccum",109.5,117,113.25,4,23.5,4.5
"239","Cephaloscyllium stevensi",-180,180,165,-24,-9,-18.5
"240","Cephaloscyllium sufflans",71.5,93,74.5,6,17,11
"241","Cephaloscyllium umbratile",118,123.5,120.5,-18.5,-13,-16
"242","Cephaloscyllium variegatum",151,152,151.25,-11,-10,-10.5
"243","Cephaloscyllium ventriosum",32.5,50.5,40,-28.5,14.5,-14.75
"244","Cephaloscyllium zebrum",119,147.5,132.5,21,46,32.5
"245","Cephalurus cephalus",146.5,155,153,-35.5,-16,-23
"246","Cetorhinus maximus",-123.5,-70,-110.5,-35.5,38,24.5
"247","Chaenogaleus macrostoma",148.5,150,149,-17,-16,-16.5
"248","Chiloscyllium arabicum",-112.5,-106,-110.5,18.5,28.5,24.5
"249","Chiloscyllium burmensis",-180,180,-60,-59,73.5,1.5
"250","Chiloscyllium griseum",47.5,126,106.5,-9.5,30.5,11.5
"251","Chiloscyllium hasseltii",47.5,77.5,65.5,7,30.5,24
"252","Chiloscyllium indicum",85,98,92,14.5,23,20
"253","Chiloscyllium plagiosum",63,106,93.75,1,25.5,12.5
"254","Chiloscyllium punctatum",92,131,105.5,-8.5,21.5,4
"255","Chlamydoselachus africana",61.5,168.5,109,-17.5,35,5
"256","Chlamydoselachus anguineus",42.5,135.5,110,-26.5,35,7.5
"257","Cirrhigaleus asper",79,154.5,120.5,-29.5,35,1.5
"258","Cirrhigaleus australis",111,120.5,114,-29,-16,-21
"259","Cirrhigaleus barbifer",-77.5,-77.5,-77.5,24.5,24.5,24.5
"260","Cirrhoscyllium expolitum",43,43.5,43.5,-34.5,-33.5,-34.5
"261","Cirrhoscyllium formosanum",-180,180,172,-55,-35,-43
"262","Cirrhoscyllium japonicum",-88,-60.5,-79.5,11,23.5,18.5
"263","Cruriraja andamanica",113,154,135.75,-45.5,-28.5,-36
"264","Cruriraja atlantis",139.5,139.5,139.5,34.5,35,34.75
"265","Cruriraja cadenati",144,180,170,-50,-33,-44
"266","Cruriraja durbanensis",111.5,157,151.5,-33.5,-14.5,-22.5
"267","Cruriraja hulleyi",-43.5,36,-9.5,17,81.5,59.5
"268","Cruriraja parcomaculata",14,26,18.5,-37,-27.5,-34.5
"269","Cruriraja poeyi",150.5,154.5,153,-35.5,-18,-23.25
"270","Cruriraja rugosa",108.5,153.5,128.5,-44,-3,-31.5
"271","Ctenacis fehlmanni",-18.5,-9,-13,23.5,58,51.5
"272","Dactylobatus armatus",-85.5,-70.5,-80,-18.5,10,-1
"273","Dactylobatus clarkii",134.5,143,140,30,42,34.5
"274","Dalatias licha",-180,172,-178,-35,-27,-30.5
"275","Dasyatis acutirostra",53,53,53,-7,-7,-7
"276","Dasyatis akajei",51.5,77,73,4.5,15.5,11
"277","Dasyatis americana",117,143,127,21.5,46.5,34.5
"278","Dasyatis bennettii",112,129.5,121.25,-26.5,-12,-17.75
"279","Dasyatis brevicaudata",-179.5,179.5,139.25,-47.5,-22,-35.5
"280","Dasyatis centroura",-95.5,-32.5,-64,-43.5,42,-5
"281","Dasyatis chrysonota",102.5,145.5,121,1.5,46,20.5
"282","Dasyatis colarensis",120,122.5,121.25,22.5,24.5,23
"283","Dasyatis dipterura",57.5,66.5,63,19,25.5,24
"284","Dasyatis fluviorum",18,26.5,21.25,-36.5,-32,-34.5
"285","Dasyatis garouaensis",-25.5,36,0,-4,69,44
"286","Dasyatis geijskesi",119.5,130.5,126.5,22,32.5,26.5
"287","Dasyatis guttata",112,175.5,138,-45.5,-27,-35.5
"288","Dasyatis hypostigma",43.5,57.5,46.5,-40.5,-28,-33.75
"289","Dasyatis izuensis",23.5,31,28.25,-34,-29.5,-33
"290","Dasyatis laevigata",23.5,32.5,29.25,-34,-27.5,-32
"291","Dasyatis laosensis",15,28,20,-36.5,-26,-34
"292","Dasyatis lata",-163,-154,-158,18,24,21
"293","Dasyatis longa",-91.5,-70.5,-80.25,-18.5,0,-6.5
"294","Dasyatis margarita",112.5,180,149.5,-49,38,-37
"295","Dasyatis margaritella",-179.5,180,73,-54.5,-35,-48.5
"296","Dasyatis marianae",27,60,40.5,-34,22.5,-4.5
"297","Dasyatis marmorata",10,33,13,-36.5,-6.5,-21.5
"298","Dasyatis microps",27,155.5,129,-45.5,35,-22.5
"299","Dasyatis navarrae",-57,150,89,-44.5,69,-34.5
"300","Dasyatis parvonigra",-124.5,180,113.5,-54,68,26
"301","Dasyatis pastinaca",-175.5,178.5,-3.5,-48.5,73,27.5
"302","Dasyatis rudis",101.5,136.5,122,-20,42,20.5
"303","Dasyatis sabina",34.5,52.5,51.5,12,29.5,13
"304","Dasyatis say",26,45,33,-34.5,-20.5,-25.75
"305","Dasyatis sinensis",112,154.5,138,-28.5,-7.5,-15
"306","Dasyatis ukpam",-164.5,-155.5,-159.5,19.5,24,22
"307","Dasyatis zugei",-56.5,-49,-52.5,-40.5,-30.5,-35.25
"308","Deania calcea",-163,97,-75.25,-36,36,18.5
"309","Deania hystricosa",-180,180,172.5,-43.5,-24.5,-32
"310","Deania profundorum",97,140,131.5,-9,35.5,31.5
"311","Deania quadrispinosa",106.5,121.5,110.75,12,23.5,19.25
"312","Dentiraja lemprieri",123.5,135,129,24,33.5,28.5
"313","Diplobatis colombiensis",116,139,126,19,35,29.5
"314","Diplobatis guamachensis",39.5,93,92.5,-7,11.5,10.5
"315","Diplobatis ommata",-81.5,-79,-79.5,23,26.5,24.5
"316","Diplobatis pictus",-80,-66.5,-68,18,26.5,19
"317","Dipturus acrobelus",14.5,16.5,15.5,-31,-29,-30
"318","Dipturus apricus",14.5,26.5,18,-37,-26.5,-33.5
"319","Dipturus australis",-95,-76.5,-79.5,19,30,25
"320","Dipturus batis",-97.5,-36.5,-79,-18.5,30,21
"321","Dipturus bullisi",50,60,54.5,7.5,21,13
"322","Dipturus campbelli",-90,-70.5,-80,9,32.5,24.5
"323","Dipturus canutus",-97.5,-34.5,-65.25,-4,30,12.5
"324","Dipturus cerva",-158.5,179.5,3.5,-47.5,60.5,28.5
"325","Dipturus confusus",-18,12,-6.25,-5,21.5,5.5
"326","Dipturus crosnieri",-29.5,42,10.5,16,59.5,40
"327","Dipturus doutrei",-180,180,-4.5,-56,64.5,-28.5
"328","Dipturus endeavouri",-19,140.5,10.5,-31.5,35.5,29
"329","Dipturus falloargus",-89,126.5,-5,-34,57,20.5
"330","Dipturus flindersi",119,121,120,22,23,22.5
"331","Dipturus garricki",11.5,179.5,167,-44.5,-17.5,-36.5
"332","Dipturus gigas",136.5,139,137.75,-36.5,-34,-35.5
"333","Dipturus grahami",140,149.5,146,-45,-37.5,-40.5
"334","Dipturus gudgeri",-77.5,-71,-75.25,8,12.5,11
"335","Dipturus healdi",-77.5,-61.5,-70.25,8,12.5,11.25
"336","Dipturus innominatus",-115,-77,-92,-1.5,30,14
"337","Dipturus johannisdavisi",-63.5,-35,-49.5,-5,11.5,2.5
"338","Dipturus laevis",126,154,143.75,-45.5,-32,-37.75
"339","Dipturus lamillai",147,154,151,-24,-17.5,-20
"340","Dipturus lanceorostratus",-69,-61,-65,-52.5,-43,-48.5
"341","Dipturus leptocaudus",150,154.5,153,-36.5,-27,-32.25
"342","Dipturus macrocauda",-27,31,-1.5,12.5,72,51.5
"343","Dipturus melanospilus",30.5,36,34.5,-30.5,-20.5,-25.5
"344","Dipturus mennii",128,154,144,-45,-32,-38
"345","Dipturus nidarosiensis",-81,-69.5,-74,-56.5,-31,-45
"346","Dipturus oculus",116,125.5,122,22,34.5,28
"347","Dipturus olseni",140.5,152.5,147,-44.5,-33,-39.5
"348","Dipturus oregoni",43.5,44,44,-21.5,-19,-20.5
"349","Dipturus oxyrinchus",-18.5,18.5,7,-35.5,20.5,0.5
"350","Dipturus polyommata",152.5,154.5,153.5,-32.5,-26,-29
"351","Dipturus pullopunctatus",113,128,121,-22.5,-9.5,-15.5
"352","Dipturus queenslandicus",-97.5,-39,-65,-2.5,29.5,12
"353","Dipturus springeri",121.5,142,131.5,18.5,36.5,30
"354","Dipturus stenorhynchus",150,155,153,-37,-25.5,-32
"355","Dipturus teevani",112.5,154.5,137.5,-45,-28,-35.5
"356","Dipturus tengu",115,121.5,118.5,-19,-14,-16.5
