"","Species","min_long","max_long","mid_long","min_lat","max_lat","mid_lat"
"357","Dipturus trachyderma",-178,179.5,172.5,-49.5,-33,-42.5
"358","Dipturus wengi",40,94.5,74.75,-5.5,20.5,14.25
"359","Discopyge castelloi",-76.5,-49,-62.5,35.5,50,45
"360","Discopyge tschudii",-63,-56,-60,-53.5,-47.5,-50.5
"361","Echinorhinus brucus",25.5,36,32,-34.5,-24,-29.5
"362","Echinorhinus cookei",-58,-46.5,-51,-36.5,-26,-32.5
"363","Electrolux addisoni",118,141,129.5,23,35.5,32
"364","Eridacnis barbouri",145,146,145.5,-43.5,-42,-42.5
"365","Eridacnis radcliffei",150,155,153.5,-33,-18,-23
"366","Eridacnis sinuans",-48,-38,-45,-29,-19,-24.5
"367","Etmopterus alphus",-177,179.5,171.5,-54.5,-33,-43.5
"368","Etmopterus benchleyi",-29.5,12.5,-11,43.5,68.5,62.5
"369","Etmopterus bigelowi",111.5,115.5,113.5,-33.5,-25.5,-29.5
"370","Etmopterus brachyurus",-97.5,-84,-91,23.5,30,28
"371","Etmopterus bullisi",-96,-79.5,-89,24,29.5,27.5
"372","Etmopterus burgessi",-35,35.5,-2.5,27,63.5,39.5
"373","Etmopterus carteri",148,154,151,-23,-16.5,-20
"374","Etmopterus caudistigmus",14,27,18,-37,-26.5,-33.5
"375","Etmopterus compagnoi",151.5,155,153,-22,-20.5,-21
"376","Etmopterus decacuspidatus",13,77,24,-37,22,-28
"377","Etmopterus dianthus",31,36,32,-30.5,-21.5,-29.5
"378","Etmopterus dislineatus",-97.5,-35.5,-77.5,-5,34.5,19
"379","Etmopterus evansi",121,143,130,14.5,42.5,28.5
"380","Etmopterus fusus",-76,-53.5,-64,-57,-32,-48
"381","Etmopterus gracilispinis",142.5,155,152,-44,-15.5,-27.75
"382","Etmopterus hillianus",-66.5,-57.5,-60,-46,-38.5,-40
"383","Etmopterus lailae",-81,179.5,5,-45.5,60.5,32
"384","Etmopterus litvinovi",-161.5,179,-74.5,-46,39.5,20
"385","Etmopterus lucifer",29,31,30,-32,-30,-31.25
"386","Etmopterus marshae",-84,-74,-79,20.5,25.5,23.25
"387","Etmopterus molleri",39,126.5,108,-10,26,13
"388","Etmopterus perryi",32,44.5,39.5,-29,-2.5,-17
"389","Etmopterus polli",33,44,37.25,-33.5,-10.5,-19.75
"390","Etmopterus princeps",-88,-78,-83.75,7,12,8.5
"391","Etmopterus pseudosqualiolus",-172.5,153.5,-48.5,-45.5,30.5,-6
"392","Etmopterus pusillus",-76,149,-59.75,-57,36,-38.5
"393","Etmopterus pycnolepis",-85,-60.5,-78.5,9.5,33,20.5
"394","Etmopterus robinsi",120.5,123,121.5,21,25.5,23
"395","Etmopterus samadiae",-87.5,-74.5,-86.75,11,16,16
"396","Etmopterus schultzi",166.5,168,167.5,-27.5,-20,-25.5
"397","Etmopterus sculptus",13.5,37,24.5,-37,-19.5,-30.5
"398","Etmopterus sentosus",110,111.5,110.5,17.5,18.5,18
"399","Etmopterus spinax",148.5,157.5,154.5,-25,-15.5,-18.5
"400","Etmopterus splendidus",115.5,133.5,120.5,-19.5,-7.5,-15.5
"401","Etmopterus unicolor",114,121,117,-20.5,-17.5,-19
"402","Etmopterus viator",-97.5,34,-62,-48,39.5,8.5
"403","Etmopterus villosus",-91,-61,-77,10,37.5,23
"404","Etmopterus virens",119.5,122.5,121.5,21,25.5,22.5
"405","Eucrossorhinus dasypogon",171.5,173,172,32,35.5,35
"406","Euprotomicroides zantedeschia",-94.5,-81,-84,-26,-20.5,-25.5
"407","Euprotomicrus bispinatus",-180,180,124.5,-55,38,-32
"408","Eusphyra blochii",120.5,120.5,120.5,14,14,14
"409","Fenestraja atripinna",-180,180,152.5,-55,46,-36.5
"410","Fenestraja cubensis",-75.5,-63,-73.5,11,12.5,11.5
"411","Fenestraja ishiyamai",-70.5,14,3,-17.5,13.5,4.5
"412","Fenestraja maceachrani",-71.5,0.5,-20.5,13.5,68.5,53.5
"413","Fenestraja mamillidens",160.5,169.5,167.5,-26.5,-22.5,-25
"414","Fenestraja plutonia",-180,180,-6.5,-57,47,-26
"415","Fenestraja sinusmexicanus",-99.5,-79.5,-85.5,-26.5,-21,-25.5
"416","Figaro boardmani",-84,-61.5,-79,12,31.5,20.75
"417","Figaro striatus",142.5,148,146,-7,-3,-5.5
"418","Furgaleus macki",-96.5,-60.5,-80,8.5,33,22
"419","Galeocerdo cuvier",114,154,138,-26.5,1,-12
"420","Galeorhinus galeus",-53,20,-47.75,-35.5,-28.5,-31.5
"421","Galeus antillensis",-180,180,-22.5,-59.5,38.5,-7
"422","Galeus arae",-83.5,155,117,-26,30.5,3
"423","Galeus atlanticus",-85,-75.5,-79.5,22,34.5,24.5
"424","Galeus corriganae",-87.5,-78.5,-80,12,28.5,24
"425","Galeus eastmani",47.5,49,48,-12.5,-12,-12
"426","Galeus gracilis",76.5,77.5,77,7,8,7
"427","Galeus longirostris",-88.5,-56,-79.5,7.5,34,24.5
"428","Galeus melastomus",-97.5,-69.5,-84,11.5,30,25
"429","Galeus mincaronei",111.5,154,135,-45,-23,-35
"430","Galeus murinus",146.5,154.5,151,-23.5,-16,-19.25
"431","Galeus nipponensis",98.5,101,100,13,16.5,14.5
"432","Galeus piperatus",99,117.5,105.5,-1,18,12.5
"433","Galeus polli",98.5,115.5,103.5,-3.5,16.5,1
"434","Galeus priapus",-52,-45,-48,-1,5.5,0.5
"435","Galeus sauteri",3.5,12,8.5,3.5,8.5,6
"436","Galeus schultzi",-62.5,-37.5,-49.5,-4.5,11.5,2
"437","Galeus springeri",-18.5,12,0.5,-5,16,4.5
"438","Ginglymostoma cirratum",-18.5,12,-2,-5,21.5,5
"439","Glaucostegus cemiculus",8,27,19,-12,5.5,-2.5
"440","Glaucostegus granulatus",112,150,131,-41.5,-21,-34.5
"441","Glaucostegus halavi",-180,180,72,-43.5,65.5,2
"442","Glaucostegus obtusus",-165.5,179,2,-54.5,73.5,36
"443","Glaucostegus thouin",-80,-60.5,-69.5,14,26,18.5
"444","Glaucostegus typus",-96.5,-74,-81.75,9.5,36.5,24.5
"445","Glyphis gangeticus",-7.5,-2,-4.5,35,36.5,35.5
"446","Glyphis garricki",-81.5,-76.5,-81.25,9,9.5,9.25
"447","Glyphis glyphis",107.5,149.5,126,-6.5,34,27
"448","Gollum attenuatus",111.5,145.5,119.75,-25.5,-9,-17.75
"449","Gurgesiella atlantica",128,143,139.5,27,34.5,29.5
"450","Gurgesiella dorsalifera",-19,36,2.5,14.5,63.5,41
"451","Gurgesiella furvescens",-48.5,-46,-47.25,-30,-25.5,-27.75
"452","Gymnura altavela",-29.5,-1.5,-13,26.5,68.5,57
"453","Gymnura australis",130.5,142,137,23.5,35.5,33
"454","Gymnura crebripunctata",-115,-109,-112,25,32,28
"455","Gymnura japonica",-18.5,15.5,1.5,-27.5,27,4.5
"456","Gymnura marmorata",166,168,167,-27.5,-15,-24
"457","Gymnura micrura",118.5,137,123.5,6,34.5,19
"458","Gymnura natalensis",120,124.5,122,12,20,14.5
"459","Gymnura poecilura",-81.5,-60.5,-71.25,15.5,24,18.5
"460","Gymnura tentaculata",-115,13,-74,-24,46,18
"461","Gymnura zonura",-17.5,36,11.5,-17,45.5,35
"462","Halaelurus boesemani",48,156.5,76.5,-11,30.5,19
"463","Halaelurus buergeri",32.5,73,50.5,-5,30,21.75
"464","Halaelurus lineatus",61.5,105,91,0.5,25.5,15
"465","Halaelurus maculosus",73.5,120,104.25,-9,23,4.5
"466","Halaelurus natalensis",75,162.5,119.5,-32,29.5,-3
"467","Halaelurus quagga",63.5,93,74.5,10,25.5,20
"468","Halaelurus sellus",122.5,146,129.25,-19,-7,-13
"469","Haploblepharus edwardsii",130,147,142,-19.5,-7.5,-13.5
"470","Haploblepharus fuscus",93,97,95,14.5,17,15.5
"471","Haploblepharus kistnasamyi",-177,180,171.5,-49.5,-25,-40.5
"472","Haploblepharus pictus",-83.5,-47.5,-69,2,14,11
"473","Hemigaleus australiensis",-48,-41.5,-46,-30.5,-23.5,-26.5
"474","Hemigaleus microstoma",-91.5,-70,-78,-33.5,1,-11.5
"475","Hemipristis elongata",-97.5,36,-8,-42.5,46,32.5
"476","Hemiscyllium freycineti",112.5,154,137.5,-34,-3.5,-13.5
"477","Hemiscyllium galei",-115,-70.5,-87.5,-18.5,32,12.5
"478","Hemiscyllium hallstromi",99,143,120,1,42.5,25.5
"479","Hemiscyllium halmahera",-120,-108,-113,23,34.5,28
"480","Hemiscyllium henryi",-98,12,-61,-24,38.5,10.5
"481","Hemiscyllium michaeli",14.5,35.5,22,-36.5,-22.5,-31.5
"482","Hemiscyllium ocellatum",-152.5,127,106.5,-18.5,30,10
"483","Hemiscyllium strahani",67,89,75.5,7,24,17.5
"484","Hemiscyllium trispeculare",67,104,80.5,0,24,14
"485","Hemitriakis abdita",48.5,52.5,50.5,4.5,13,9
"486","Hemitriakis complicofasciata",107.5,140.5,123,4,39,30.5
"487","Hemitriakis falcata",29.5,37.5,35,-31.5,-18,-24
"488","Hemitriakis japanica",108.5,125,123,-9,10.5,8.5
"489","Hemitriakis leucoperiptera",20,36,28.25,-36,-21.5,-33
"490","Heptranchias perlo",32.5,127.5,110.5,-10,30,9
"491","Heterodontus francisci",30,154,105.5,-34.5,41,9
"492","Heterodontus galeatus",129.5,134,130.75,-2,0.5,-0.75
"493","Heterodontus japonicus",134,135,134.5,-3,-1,-2
"494","Heterodontus mexicanus",142,151.5,146.5,-11.5,-7.5,-9.5
"495","Heterodontus omanensis",127,129,128,-1,2.5,0.5
"496","Heterodontus portusjacksoni",132.5,134.5,133.5,-4,-3,-3.5
"497","Heterodontus quoyi",149,151.5,150.5,-11,-8.5,-9.5
"498","Heterodontus ramalheira",112,155,137.5,-34,1,-12
"499","Heterodontus zebra",139.5,146,144,-5.5,-2,-3.5
"500","Heteronarce bentuviai",113,152,131.5,-24,3,-14
"501","Heteronarce garmani",148.5,170,165.5,-23.5,-15,-20.75
"502","Heteronarce mollis",119,130,122,22,30,25.25
"503","Heteronarce prabhui",113.5,122.5,118.5,-22.5,-16.5,-19.5
"504","Heteroscymnoides marleyi",112.5,170,125.5,-23.5,41,30.5
"505","Hexanchus griseus",119,127.5,123,4.5,21,12
"506","Hexanchus nakamurai",99,141.5,120.5,1.5,43.5,30.5
"507","Hexatrygon bickelli",130,154,142,-32,-3.5,-12.5
"508","Himantura astra",-161,146,135,19,47.5,34
"509","Himantura bleekeri",106,124,114,1.5,28,17.5
"510","Himantura dalyensis",-92,169.5,118.5,-32.5,41,4
"511","Himantura fai",118,143,128,21.5,42,34
"512","Himantura gerrardi",148.5,179.5,167,-45,-17.5,-32.5
"513","Himantura granulata",120,135.5,130.5,27,35.5,33.5
"514","Himantura hortlei",111.5,124,117.5,-33,-11.5,-18
"515","Himantura imbricata",34,117,80.5,-21,28,11.5
"516","Himantura jenkinsii",111,140,123,19,35.5,28.5
"517","Himantura kittipongi",-96.5,-51,-82,5,30,16
"518","Himantura leoparda",136.5,138,137,34,35,34.5
"519","Himantura lobistoma",72.5,140,111.5,-9,38,10.5
"520","Himantura oxyrhyncha",11,36,18.5,-37,-17,-29
"521","Himantura pacifica",129.5,152,144,-45.5,-33,-38.5
"522","Himantura pastinacoides",-48.5,-32.5,-40,-24,2,-7.25
"523","Himantura polylepis",98,107.5,102,1,13.5,9
"524","Himantura randalli",-160,-76,-93.5,-14.5,32.5,15.5
"525","Himantura schmardae",-97.5,-59.5,-78.5,8.5,36.5,20
"526","Himantura signifer",28,50.5,41,-33,-1.5,-18
"527","Himantura toshi",-96,-34.5,-61.5,-27,24,9.5
"528","Himantura uarnacoides",50,55.5,53,11,13.5,12.5
"529","Himantura uarnak",117.5,131.5,122,23,34.5,28.5
"530","Himantura undulata",99.5,107.5,104.5,12.5,21,17.5
"531","Himantura walga",32.5,73,50.5,10.5,30.5,21.5
"532","Holohalaelurus favus",102.5,123,109.5,7.5,30.5,19.5
"533","Holohalaelurus grennian",116,119.5,118,-19.5,-17,-18.5
"534","Holohalaelurus melanostigma",113.5,127,121.5,22,41,36
"535","Holohalaelurus punctatus",-180,180,14.5,-45.5,63,10.5
"536","Holohalaelurus regani",-124,-105.5,-114,22,38.5,28
"537","Hongeo koreana",150,154.5,153,-36,-26.5,-32
"538","Hypanus berthalutzae",-115,-70,-87.5,-21.5,31.5,12.5
"539","Hypnos monopterygius",46.5,78.5,49.75,3,15,8
"540","Hypogaleus hyugaensis",75.5,76.5,76,8,9,8.5
"541","Iago garricki",-83,35,1,-33.5,-24,-31
"542","Iago omanensis",-180,180,13,-53.5,68.5,14.25
"543","Indobatis ori",-81,170,115.5,-37.5,48,22.75
"544","Insentiraja laxipella",-97.5,-59.5,-80,8.5,30,21.5
"545","Insentiraja subtilispinosa",-168.5,170.5,119.5,-36.5,43,20.5
"546","Irolita waitii",91.5,152,120.5,-23,30.5,-4
"547","Irolita westraliensis",28,161.5,114,-33.5,33.5,-0.5
"548","Isistius brasiliensis",31,126.5,105.5,-30.5,23,2
"549","Isistius plutodus",33,44.5,39.5,-26.5,1.5,-13.5
"550","Isogomphodon oxyrhynchus",39.5,41.5,40,-10,-2,-5.75
"551","Isurus oxyrinchus",32,40.5,36,-29,-16.5,-22.5
"552","Isurus paucus",13.5,33,19,-37,-25,-32
"553","Lamiopsis temminckii",125,129.5,128,32.5,35.5,34
"554","Lamna ditropis",-73,26.5,-25.5,-37.5,68.5,56
"555","Lamna nasus",11.5,121.5,34,-36.5,6.5,-23.75
"556","Leptocharias smithii",-97.5,-56,-81,7.5,29.5,17
"557","Leucoraja circularis",-92,-88.5,-90,-1.5,1.5,-0.5
"558","Leucoraja compagnoi",122,142,133,24,51.5,37.5
"559","Leucoraja erinacea",-180,180,171,-55,-32.5,-45.5
"560","Leucoraja fullonica",-148.5,-83,-124.5,7.5,61.5,47
"561","Leucoraja garmani",1.5,42.5,41,-46,-42,-43.5
"562","Leucoraja lentiginosa",139.5,180,171,-48,-32.5,-40.5
"563","Leucoraja leucosticta",-11,-7.5,-9.5,36,42,38.5
"564","Leucoraja melitensis",-90.5,-64.5,-75.5,-57.5,13.5,-19.5
"565","Leucoraja naevus",151,155,153.5,-35.5,-19.5,-26.5
"566","Leucoraja ocellata",-48.5,-41.5,-45.25,-30.5,-23.5,-26.75
"567","Leucoraja pristispina",-91.5,-89,-90,-1,-0.5,-1
"568","Leucoraja wallacei",-122.5,-70,-81,-55,37,7
"569","Leucoraja yucatanensis",-96,36,-18,-24,70,57
"570","Loxodon macrorhinus",119,153,136,-11,39.5,18.5
"571","Maculabatis ambigua",165.5,180,173.5,-49.5,-33,-42.5
"572","Maculabatis arabica",-66.5,-1.5,-20.5,27.5,75,59
"573","Maculabatis macrura",-98,-51,-79,4.5,40,21.5
"574","Makararaja chindwinensis",-112,-77,-89.5,-3,28,11
"575","Malacoraja kreffti",-48,-34.5,-39,-17.5,0.5,-4
"576","Malacoraja obscura",2,8.5,5.25,4,6.5,5
"577","Malacoraja senta",-98,-75,-88.5,18.5,36.5,28.5
"578","Malacoraja spinacidermis",-98,-34.5,-74,-9,41.5,20.5
"579","Manta alfredi",32.5,94.5,60,7,30,19
"580","Manta birostris",36,48.5,37,-21,-12,-19.5
"581","Megachasma pelagios",112,154.5,128,-38.5,-10,-30
"582","Miroscyllium sheikoi",155,167.5,156.5,-24,-16.5,-18
"583","Mitsukurina owstoni",105,169.5,123,-26.5,20,-11
"584","Mobula hypostoma",112,125.5,119.5,-31,20,-17
"585","Mobula kuhlii",113.5,152,125.5,-36,-14,-33.5
"586","Mobula mobular",112,120,114.75,-27,-18,-21
"587","Mobula munkiana",-180,180,-74,-33,34.5,-1.5
"588","Mobula tarapacana",111.5,114,112.75,18,20,19
"589","Mobula thurstoni",-91,160,129,-32.5,48,25.5
"590","Mollisquama mississippiensis",-63,-40,-50,-3,11,2.5
"591","Mollisquama parini",-180,180,-11.5,-49.5,60.5,2.5
"592","Mustelus albipinnis",-180,180,-13.5,-38.5,46.5,4.5
"593","Mustelus antarcticus",64,120.5,106,-6.5,25.5,10
"594","Mustelus asterias",-180,180,-134,18,66.5,41
"595","Mustelus californicus",-180,180,-9.5,-60,72,-41.5
"596","Mustelus canis",-19,36,8.5,-18.5,44.5,33
"597","Mustelus dorsalis",-24,32.5,-2,27,66.5,43.5
"598","Mustelus fasciatus",15.5,29,21.5,-37,-31,-34.5
"599","Mustelus griseus",-76.5,-48,-60,35.5,53.5,44.5
"600","Mustelus henlei",-32,40.5,2,31,72,53
"601","Mustelus higmani",-83.5,-65,-73,24.5,45,39.5
"602","Mustelus lenticulatus",-97.5,-85,-91.5,18.5,30,23.5
"603","Mustelus lunulatus",-18.5,11,0,-4,16,4.5
"604","Mustelus manazo",1.5,21.5,12,30.5,38.5,35.25
"605","Mustelus mento",-14.5,35,0.5,27,62,44
"606","Mustelus minicanis",-76.5,-43.5,-59.5,35.5,60.5,47.5
"607","Mustelus mosis",111.5,123,116.5,-28.5,-12.5,-18.5
"608","Mustelus mustelus",14,35.5,20.5,-37,-24.5,-32
"609","Mustelus norrisi",-86,-82,-82.5,12,20.5,13.5
"610","Mustelus palumbes",32.5,154.5,107,-30.5,35,3
"611","Mustelus punctulatus",32.5,54.5,41.5,-7,30,15
"612","Mustelus ravidus",61.5,77,71,8,25.5,20
"613","Mustelus schmitti",112,154.5,136,-28.5,-1,-13
"614","Mustelus sinusmexicanus",56.5,122,106,-9,27.5,8
"615","Mustelus stevensi",95,127,111.5,-10.5,27,4.5
"616","Mustelus walkeri",92,120,107,-7.5,21,3
"617","Mustelus whitneyi",47.5,57,51.5,24,30.5,26.5
"618","Mustelus widodoi",129.5,154.5,141.5,-29.5,-10,-14.5
"619","Myliobatis aquila",94,97.5,95.5,21.5,27,25
"620","Myliobatis californica",-26,-11.5,-17,54.5,64.5,58
"621","Myliobatis chilensis",-42,-38,-40,-24,-19.5,-20.5
"622","Myliobatis freminvillei",-74.5,-43.5,-58.5,37.5,60.5,47.5
"623","Myliobatis goodei",-69,19.5,-27.5,-38,68,58.5
"624","Myliobatis hamlyni",-180,180,-13,-45,42,-2
"625","Myliobatis longirostris",32.5,137,90,-27,24,4
"626","Myliobatis peruvianus",-124.5,178,9,-43,48.5,4.5
"627","Myliobatis ridens",-180,180,93,-33,35.5,0
"628","Myliobatis tenuicaudatus",-180,180,-16,-44,44.5,3
"629","Myliobatis tobijei",30.5,157.5,112,-33.5,30,-1.5
"630","Narcine atzi",-98,14,-49.5,-45,33.5,8
"631","Narcine bancroftii",29,163.5,98.5,-32.5,27,1
"632","Narcine brasiliensis",-180,180,-10.5,-44.5,48,3.5
"633","Narcine brevilabiata",-122,-70,-96.5,-22,35,6.5
"634","Narcine entemedor",-180,180,-18,-41.5,52.5,3
"635","Narcine insolita",-180,180,-11,-42,47,-1.5
"636","Narcine lasti",-88,-86.5,-87,26.5,28.5,27.5
"637","Narcine leoparda",-83,-80.5,-81.5,-23,-20.5,-21.5
"638","Narcine lingula",-114.5,-109.5,-111.5,23,31,26.5
"639","Narcine maculata",114,152.5,137.5,-45,-28,-35.5
"640","Narcine nelsoni",-19,36,4,25.5,60.5,40
"641","Narcine oculifera",-125.5,-108,-114.5,22,40.5,29
"642","Narcine ornata",-98,-46.5,-75.5,-45.5,44,19
"643","Narcine prodorsalis",-106,-77.5,-86,-3,21,10.5
"644","Narcine rierai",-62.5,-48,-56,-43,-28.5,-37
"645","Narcine tasmaniensis",105.5,141,123,10.5,41,32
"646","Narcine timlei",-125,-73.5,-98.25,-17,41,16
"647","Narcine vermiculatus",-77.5,-34,-49,-35,13,-0.5
"648","Narcine westraliensis",-178,180,173,-48,-33.5,-42.5
"649","Narke capensis",-121,-77.5,-107.5,6.5,34.5,22.5
"650","Narke dipterygia",39.5,143.5,122.5,-4.5,46,31
"651","Narke japonica",-91.5,44.5,-73.5,-56,0,-46.75
"652","Nasolamia velox",-73.5,-51,-64,5,13,11.5
"653","Nebrius ferrugineus",26.5,88.5,52,-34,30.5,17
"654","Negaprion acutidens",-19,36,1,23,61,39.5
"655","Negaprion brevirostris",-98,-47,-83,-36,31,17
"656","Neoharriotta carri",13.5,33.5,18.5,-37,-23,-31.5
"657","Neoharriotta pinnata",-19,36,13,20.5,46,36.5
"658","Neoharriotta pumila",111.5,130.5,119.5,-32.5,-9,-17
"659","Neoraja africana",-67.5,-42,-59.5,-51,-23,-40.5
"660","Neoraja caerulea",-96,-85.5,-92,18,29.5,28
"661","Neoraja carolinensis",111.5,122,116.5,-25,-14.5,-19
"662","Neoraja iberica",146,154.5,151.5,-27.5,-18,-21.5
"663","Neoraja stehmanni",-81.5,-70,-77,-27.5,-5,-12.5
"664","Neotrygon annotata",114,116,115,-9.5,-7.5,-8.5
"665","Neotrygon kuhlii",-19,36,9,-36.5,52,34.5
"666","Neotrygon leylandi",-125.5,-106.5,-115,22,45,29.5
"667","Neotrygon ningalooensis",-81,-70,-73.5,-40,-5.5,-22.25
"668","Neotrygon picta",-97.5,-32.5,-56.5,-38,42,6
"669","Notoraja alisae",-89,-32.5,-56.5,-47.5,33.5,-5.25
"670","Notoraja azurea",112.5,154.5,124,-33.5,25.5,-21.5
"671","Notoraja fijiensis",-115,-77,-88.75,-4,31.5,13.5
"672","Notoraja hirticauda",-81,-70.5,-76.5,-33.5,-5.5,-13.5
"673","Notoraja inusitata",-62.5,-50,-57,-43,-30.5,-37.5
"674","Notoraja lira",-179.5,179.5,148.5,-48.5,-28,-37.5
"675","Notoraja longiventralis",116,143.5,129.25,21,47,35.5
"676","Notoraja martinezi",58,96.5,81.25,9,20,15.75
"677","Notoraja ochroderma",-98,-56.5,-79.5,6,35,19
"678","Notoraja sapphira",-58.5,-41,-52,-39,-22.5,-33
"679","Notoraja sereti",89,122.5,109,2,28,16.5
"680","Notoraja sticta",-115.5,-77,-95.5,-6,31.5,16
"681","Notoraja tobitukai",43,43,43,-22.5,-22.5,-22.5
"682","Notorynchus cepedianus",111.5,131,121.5,-30.5,-9.5,-16
"683","Odontaspis ferox",-81,-77,-79,-1,4,2
"684","Odontaspis noronhai",63.5,123,103,3.5,26,20.5
"685","Okamejei acutispina",78.5,126,101.5,-0.5,26.5,13.5
"686","Okamejei arafurensis",147.5,155,151.5,-24,-15.5,-19.5
"687","Okamejei boesemani",49,60,52,11,24.5,12.5
"688","Okamejei cairae",125,143,136,-17.5,-9,-12
"689","Okamejei heemstrai",94,123,108.5,-7,31,16.5
"690","Okamejei hollandi",36.5,48,40.5,-20,4,-6.5
"691","Okamejei jensenae",55,143,118.25,0,42.5,24
"692","Okamejei kenojei",126,154,144,-44.5,-30,-36.75
"693","Okamejei leptoura",61.5,137,102.5,-8.5,37.5,14
"694","Okamejei meerdervoortii",-112,-83,-99,8.5,29,16.5
"695","Okamejei ornata",112.5,119,114.5,-26,-19,-21
"696","Okamejei philipi",113.5,138.5,122.5,21.5,40,31
"697","Okamejei pita",-74.5,-71,-72.5,9.5,12.5,11
"698","Okamejei powelli",-115.5,-72.5,-89.5,-17,31.5,13.5
"699","Okamejei schmidti",13.5,50.5,43.5,-36.5,-12,-24.5
"700","Orectolobus floridus",-180,180,112,-34.5,35.5,-0.5
"701","Orectolobus halei",-180,180,102,-31.5,30,-6.5
"702","Orectolobus hutchinsi",-115.5,14,-74,-37.5,43.5,15
"703","Orectolobus japonicus",-86.5,-60,-68.75,8.5,16.5,11.5
"704","Orectolobus maculatus",-17.5,94,13,-22.5,45,8.5
"705","Orectolobus ornatus",41.5,55.5,49,-1.5,13.5,10.5
"706","Orectolobus parvimaculatus",-18,11,8,-4.5,21.5,0.5
"707","Orectolobus reticulatus",-20,-2,-13,43.5,59.5,54
"708","Orectolobus wardi",-80.5,-76.5,-79.5,29.5,33.5,32
"709","Oxynotus bruniensis",-11,-2,-8.5,35.5,45,42.25
"710","Oxynotus caribbaeus",14.5,20,17,-36.5,-29,-31.75
"711","Oxynotus centrina",124.5,147.5,136.5,-17.5,-7.5,-13
"712","Oxynotus japonicus",157,166.5,161.5,-12,-6.5,-9.25
"713","Oxynotus paradoxus",112.5,121.5,116.5,-26.5,-18,-20.5
"714","Paragaleus leucolomatus",113,113.5,113.25,-23,-22.5,-22.75
"715","Paragaleus pectoralis",135,153,142.5,-26,-7.5,-14
"716","Paragaleus randalli",165.5,180,176,-45,-16,-39
"717","Paragaleus tengi",113.5,154.5,138.5,-45.5,-30,-36
"718","Parascyllium collare",178,179.5,179,-18,-16.5,-17.25
"719","Parascyllium elongatum",112,117,113.75,-27,-19.5,-22.5
"720","Parascyllium ferrugineum",165.5,169,167,-16,-13,-14.5
"721","Parascyllium sparsimaculatum",93,97,94.5,-34.5,-30,-32
"722","Parascyllium variolatum",-180,180,167.75,-19.5,-12.5,-16.75
"723","Paratrygon aiereba",-86.5,-77.5,-81.25,-3,11,7
"724","Parmaturus albimarginatus",145,146.5,146,-15,-14,-14.5
"725","Parmaturus albipenis",166.5,170,168,-35.5,-25,-33.5
"726","Parmaturus angelae",146,146,146,-5.5,-5,-5.25
