"","Species","min_long","max_long","mid_long","min_lat","max_lat","mid_lat"
"727","Parmaturus bigus",130,134,132,-36,-33,-34.5
"728","Parmaturus lanatus",121,139.5,129.5,21.5,35,28.5
"729","Parmaturus macmillani",-134,179,14.5,-57,56.5,-32
"730","Parmaturus melanobranchus",-179.5,179.5,25.5,-53.5,49,20.5
"731","Parmaturus nigripalatum",-161.5,173,-28,-37,34.5,4.5
"732","Parmaturus pilosus",112.5,137,123,3.5,39,27
"733","Parmaturus xaniurus",120,133,126,-15,-7.5,-10.5
"734","Pastinachus atrus",105.5,136,122,12,37.5,28.5
"735","Pastinachus sephen",107,114.5,110,-0.5,6,4.5
"736","Pastinachus solocirostris",39,41.5,40.25,-16.5,-1.5,-8.25
"737","Pavoraja alleni",62.5,139,133,23.5,35,32.5
"738","Pavoraja arenaria",118.5,121.5,119.5,5,10,6
"739","Pavoraja mosaica",46.5,46.5,46.5,12.5,13,12.75
"740","Pavoraja nitida",72.5,98.5,86,6,23,15
"741","Pavoraja pseudonitida",114,116,115,-35.5,-29,-32.5
"742","Pavoraja umbrosa",112,154.5,134,-40,-22.5,-34
"743","Pentanchus profundicolus",112,119.5,114.5,-36.5,-23,-30.5
"744","Planonasus indicus",102,140,121.5,5.5,41,29.5
"745","Planonasus parini",112,154.5,134.5,-39.5,-16,-33.5
"746","Platyrhina sinensis",145,154.5,152,-34.5,-14.5,-22.5
"747","Platyrhinoidis triseriata",112.5,116,114.5,-33,-27,-29.5
"748","Plesiobatis daviesi",125,131,128.5,-15.5,-12,-14
"749","Plesiotrygon iwamae",113.5,146.5,131.5,-22.5,-4,-14
"750","Pliotrema annae",124,180,168,-50,-30.5,-39.5
"751","Pliotrema warreni",-97.5,-61,-78.5,10.5,30,23.5
"752","Poroderma africanum",-18.5,34.5,7,-37,69.5,37
"753","Poroderma pantherinum",137,138.5,137.75,33.5,34.5,34
"754","Potamotrygon brachyura",-28.5,0,-8.5,16.5,60.5,45
"755","Potamotrygon constellata",-26,14,-10,-20,35.5,8.5
"756","Potamotrygon falkneri",34.5,84,54.25,-22,27.5,17.5
"757","Potamotrygon henlei",99.5,138.5,118,11,35,23
"758","Potamotrygon hystrix",150,154.5,153,-37.5,-26,-32
"759","Potamotrygon leopoldi",115,119,117,-36.5,-34.5,-35.5
"760","Potamotrygon magdalenae",117.5,150.5,138,-44.5,-31.5,-36.25
"761","Potamotrygon marinae",113.5,115.5,114.5,-33.5,-30.5,-32
"762","Potamotrygon motoro",114,150,134.5,-41.5,-29.5,-35
"763","Potamotrygon ocellata",-79.5,-52,-65.5,-20,10,-5.5
"764","Potamotrygon orbignyi",162,164.5,163.5,-21,-17,-19
"765","Potamotrygon schroederi",162,164.5,163.25,-20,-17,-18.5
"766","Potamotrygon schuemacheri",-47.5,-41,-44.25,-28.5,-23.5,-25.5
"767","Potamotrygon scobina",154,155,154.5,-22.5,-21.5,-22
"768","Potamotrygon signata",130.5,132.5,131.5,-8.5,-6.5,-8
"769","Potamotrygon tigrina",168.5,179.5,177,-41.5,-33.5,-38.5
"770","Potamotrygon yepezi",114,129,125.5,19.5,29.5,26
"771","Prionace glauca",118,118,118,-9,-9,-9
"772","Pristiophorus cirratus",122.5,142,133,23,35.5,30
"773","Pristiophorus delicatus",-126,-105.5,-116,21,48,29.25
"774","Pristiophorus japonicus",112,163.5,144,-29.5,1,-10
"775","Pristiophorus lanae",32.5,83,57,-1.5,30.5,18
"776","Pristiophorus nancyae",103.5,118,113,-6,6,-1.5
"777","Pristiophorus nudipinnis",62,114,88,1,25.5,15
"778","Pristiophorus schroederi",-176.5,159,118.5,-27.5,30,-7.5
"779","Pristis clavata",135.5,140.5,138.5,-8.5,-4.5,-7
"780","Pristis pectinata",30.5,151.5,118,-31,23.5,-1
"781","Pristis pristis",87.5,120.5,106.5,-8.5,23,4.5
"782","Pristis zijsron",112,121.5,114.5,-31.5,-17.5,-22
"783","Proscyllium habereri",114,141,128,-39.5,-33,-35.5
"784","Psammobatis bergi",125,153,143,-45,-31.5,-37
"785","Psammobatis extenta",148,153,151.5,-23,-16.5,-18.5
"786","Psammobatis lentiginosa",153,155.5,154.5,-33,-26.5,-29.75
"787","Psammobatis normani",122,124.5,124,10.5,12.5,11
"788","Psammobatis parvacauda",76,81.5,81,8.5,9.5,9
"789","Psammobatis rudis",51.5,55.5,53.5,11,13.5,12.5
"790","Psammobatis rutrum",105,141,122,8,41,32
"791","Psammobatis scobina",-123.5,-109,-114.5,23.5,38,29.25
"792","Pseudocarcharias kamoharai",-79.5,-48.5,-69.75,-15,3,-4
"793","Pseudoginglymostoma brevicaudatum",-64.5,-53,-57.5,-27.5,-14,-20.5
"794","Pseudoraja fischeri",-53.5,-47,-49.5,-18,-2.5,-10.5
"795","Pseudotriakis microdon",-67,-53,-59.5,-35,-14,-23.5
"796","Pteroplatytrygon violacea",-55.5,-50.5,-53,-15.5,-1.5,-8.5
"797","Raja ackleyi",-75,-39.5,-47,-39.5,-21,-27
"798","Raja asterias",-77.5,-73,-74.5,2.5,11,8
"799","Raja bahamensis",-180,180,-23,-40.5,44.5,1
"800","Raja binoculata",-180,-114,-147.5,27.5,61.5,54.5
"801","Raja brachyura",-55,-51.5,-53.75,2,5.5,3.25
"802","Raja cervigoni",-17,14,6,-17,13,4.5
"803","Raja chinensis",-57.5,-39,-50.5,-38.5,-18.5,-31
"804","Raja clavata",-68.5,-54.5,-61,-41,-18,-26
"805","Raja cortezensis",-115,-109.5,-112.5,23.5,31.5,29
"806","Raja eglanteria",56.5,82.5,72.5,5.5,26,18.5
"807","Raja equatorialis",30,36,33.5,-31.5,-20,-25.5
"808","Raja herwigi",-51.5,-48.5,-50,-2,0,-1
"809","Raja inornata",-79.5,-48,-64,-15,10,-3.5
"810","Raja maderensis",-73,-59.5,-64.5,-3.5,8,1.5
"811","Raja microocellata",-65,-55,-60,-35,-22.5,-27.5
"812","Raja miraletus",-73.5,-46.5,-59.5,-11.5,5.5,-0.5
"813","Raja montagui",-47,-41,-43,-10.5,-2.5,-7.5
"814","Raja polystigma",-180,180,-23.5,-57,68.5,-4
"815","Raja pulchra",119,149.5,132.25,26.5,55.5,37
"816","Raja radula",113.5,154,138,-44.5,-29,-35
"817","Raja rhina",-169,-114,-135,27.5,61.5,54.75
"818","Raja stellulata",147,153.5,150.5,-20.5,-14.5,-17.5
"819","Raja straeleni",117.5,143,128.5,23,42.5,34.5
"820","Raja texana",29.5,41.5,37.5,-31.5,-1.5,-18
"821","Raja undulata",121,123.5,122.5,9,13.5,13.5
"822","Raja velezi",107.5,135.5,120.5,17.5,36.5,25
"823","Rajella annandalei",35,53.5,40,-25.5,12.5,-6.5
"824","Rajella barnardi",127,151,142,-44.5,-31.5,-38
"825","Rajella bathyphila",-79.5,-78.5,-79,23.5,29,28
"826","Rajella bigelowi",55.5,159.5,123,-21.5,22,-5
"827","Rajella caudaspinosa",-98,14,-62.5,-36.5,36.5,11.5
"828","Rajella challengeri",-107.5,159.5,99,-36.5,30.5,2
"829","Rajella dissimilis",30,159.5,113.5,-34.5,30.5,0.5
"830","Rajella eisenhardti",105.5,141,123.5,-7,41,29.5
"831","Rajella fuliginea",-73.5,179.5,172,-54.5,-33,-42
"832","Rajella fyllae",-67.5,-42,-58.5,-47.5,-22.5,-39.5
"833","Rajella kukujevi",-67.5,-42.5,-58.5,-48.5,-22.5,-40
"834","Rajella leoparda",-65.5,-42,-56.5,-45,-23,-37.5
"835","Rajella lintea",-75,-54,-62.5,-51.5,-33.5,-45.5
"836","Rajella nigerrima",-58,-57,-57.5,-51.5,-51,-51.25
"837","Rajella paucispinosa",-69.5,-52,-62.5,-54.5,-34,-45.5
"838","Rajella purpuriventralis",-65,-42,-55,-43,-22.5,-36.5
"839","Rajella ravidula",-76,-71.5,-74,-53,-29.5,-44.5
"840","Rajella sadowskii",-115,-77,-93,-3.5,32,15
"841","Rhina ancylostoma",-62.5,-44.5,-55,-42,-23,-35.5
"842","Rhincodon typus",-98,-37,-87,-5,34,23
"843","Rhinobatos albomaculatus",-115,-77,-91.75,-3,30,14
"844","Rhinobatos annandalei",-91,-34.5,-61,-27.5,24,9
"845","Rhinobatos austini",-94.5,-70,-80.5,-21.5,16.5,1.25
"846","Rhinobatos glaucostigma",-161.5,168.5,126,-32,29,-19
"847","Rhinobatos holcorhynchus",-93,-77,-81.75,-4,15,8.5
"848","Rhinobatos horkelii",-79.5,-50.5,-70,-15,3,-4
"849","Rhinobatos hynnicephalus",-123.5,-108.5,-114,22,38,28.5
"850","Rhinobatos irvinei",-180,180,-1.5,-35.5,41,1
"851","Rhinobatos jimbaranensis",39,50.5,45.5,-26,-1,-16
"852","Rhinobatos lentiginosus",39.5,39.5,39.5,-6.5,-6.5,-6.5
"853","Rhinobatos leucorhynchus",18.5,36,25.5,-37,-23.5,-34
"854","Rhinobatos lionotus",-86.5,-61,-62.5,16,24.5,17.5
"855","Rhinobatos nudidorsalis",-177.5,180,-15.5,-48.5,64.5,33.5
"856","Rhinobatos penggali",-161.5,179.5,16,-49,53,7.5
"857","Rhinobatos percellens",18,31,22.5,-36.5,-30,-34
"858","Rhinobatos planiceps",17.5,32.5,22.5,-36.5,-29,-34.5
"859","Rhinobatos prahli",-65,-52,-58,-36,-14,-25
"860","Rhinobatos productus",-65,-53,-58.5,-35,-14,-24.5
"861","Rhinobatos punctifer",-9.5,36,15.5,30.5,44.5,37
"862","Rhinobatos rhinobatos",-19,25.5,-5.5,16,63.5,42
"863","Rhinobatos sainsburyi",-27,58.5,7,-36.5,71.5,40.5
"864","Rhinobatos schlegelii",-26.5,-22,-24,14,18,16
"865","Rhinochimaera africana",-125.5,-108.5,-117.5,22,49,32.25
"866","Rhinochimaera atlantica",-18,-15.5,-16.5,31.5,34,33
"867","Rhinochimaera pacifica",-17.5,1.5,-8,16,54,44.5
"868","Rhinoptera bonasus",-18,36,13.5,24.5,45.5,37
"869","Rhinoptera brasiliensis",-19,35,0,26.5,62,44.5
"870","Rhinoptera javanica",19,30.5,23,-36.5,-31,-34.5
"871","Rhinoptera marginata",47.5,50,49,29,30.5,29.5
"872","Rhinoptera neglecta",-5.5,23,10.5,30.5,44.5,38
"873","Rhinoptera steindachneri",-5.5,36,16,30.5,46,37.5
"874","Rhinoraja kujiensis",-126,-117,-123.5,31.5,49.5,38.5
"875","Rhinoraja longicauda",-18.5,26.5,9.5,-36.5,21.5,-1.5
"876","Rhinoraja odai",-19,36,0,12.5,52.5,38
"877","Rhizoprionodon acutus",128.5,129.5,129.25,-1,0,-0.75
"878","Rhizoprionodon lalandii",-19,26.5,5.5,-36.5,31,3.5
"879","Rhizoprionodon longurio",-68.5,-3,-31,40,67.5,59.5
"880","Rhizoprionodon oligolinx",-67.5,-1.5,-28,9,72.5,56.5
"881","Rhizoprionodon porosus",13.5,33.5,19.75,-37,-26.5,-32.5
"882","Rhizoprionodon taylori",131,152,144,-45,-33.5,-38.75
"883","Rhizoprionodon terraenovae",-18.5,19,7,-35,27,3.5
"884","Rhynchobatus australiae",-91.5,-90,-90.75,-1,-0.5,-0.75
"885","Rhynchobatus cooki",-97.5,-59.5,-79.5,9,29.5,18
"886","Rhynchobatus djiddensis",-72,55,-15.5,39.5,78.5,65
"887","Rhynchobatus immaculatus",-18,-1,-9,43.5,63.5,56
"888","Rhynchobatus laevis",-18.5,26.5,9.5,-36.5,21,-2.5
"889","Rhynchobatus luebberti",-52.5,30,-9.5,53,79.5,65.5
"890","Rhynchobatus palpebratus",-81.5,-67.5,-74.5,-57,1,-30
"891","Rhynchobatus springeri",35.5,36,35.5,-26,-24.5,-25.5
"892","Rhynchorhina mauritaniensis",-97,-77.5,-89.5,9.5,29,23
"893","Rioraja agassizii",-12.5,19,12.5,-35.5,31,-19.25
"894","Rostroraja alba",30,156.5,117.5,-32.5,41,3
"895","Schroederichthys bivius",-18,14,-2,-17,27.5,5
"896","Schroederichthys chilensis",114.5,116,115,-9,-7.5,-8.5
"897","Schroederichthys maculatus",88,91.5,90,21,23,22
"898","Schroederichthys saurisqualus",61,62,61.5,-11.5,-10.5,-11
"899","Schroederichthys tenuis",106,115.5,110.5,-9,-7,-8
"900","Scoliodon laticaudus",-18,36,10.5,-17,46,36
"901","Scoliodon macrorhynchos",115.5,130.5,124.5,-21.5,-9.5,-14.5
"902","Scyliorhinus boa",105,142.5,122.5,8.5,41.5,22
"903","Scyliorhinus cabofriensis",14.5,147,127.25,-36.5,46,26.5
"904","Scyliorhinus canicula",-97.5,34,-16.75,-37,69,48.5
"905","Scyliorhinus capensis",-82,179.5,131.5,-48.5,48,24.5
"906","Scyliorhinus cervigoni",-98,-34.5,-72,-36.5,42,11.5
"907","Scyliorhinus comoroensis",-98,-34.5,-63.5,-34,30.5,9.5
"908","Scyliorhinus haeckelii",28.5,131.5,115.5,-32.5,29,3.5
"909","Scyliorhinus hesperius",-18,36,9,-6,44.5,35.5
"910","Scyliorhinus meadi",131,154.5,150.5,-32.5,-10,-21
"911","Scyliorhinus retifer",-115.5,-77,-92.5,-7,31.5,14.5
"912","Scyliorhinus stellaris",128,157,142.5,29,50.5,39.75
"913","Scyliorhinus torazame",140.5,148.5,142.75,35,45.5,42
"914","Scyliorhinus torrei",138,141.5,140,32.5,36.5,34.5
"915","Scyliorhinus ugoi",-17.5,156,111.5,-31.5,41,3.5
"916","Scylliogaleus quecketti",-82.5,-34.5,-49,-27.5,12.5,1
"917","Scymnodalatias albicauda",-120.5,-75,-93,-15.5,34,15
"918","Scymnodalatias garricki",47.5,142,105,-17.5,30.5,6.5
"919","Scymnodalatias oligodon",-89,-31.5,-64.5,-39,28,11.5
"920","Scymnodalatias sherwoodi",112,154.5,135.5,-30,-9,-15
"921","Scymnodon macracanthus",148,153,151.5,-23,-16.5,-18.5
"922","Scymnodon ringens",104,108,106.5,-6.5,1.5,-5.5
"923","Sinobatis andamanensis",23.5,60,42.5,-34.5,30.5,16.5
"924","Sinobatis borneensis",120,122,121,24.5,25.5,25
"925","Sinobatis brevicauda",48,140,75.5,6,35.5,23.5
"926","Sinobatis bulbicauda",-17.5,13,-8.75,-6,21,6
"927","Sinobatis caerulea",97.5,150,135,-23,26,-12.5
"928","Sinobatis filicauda",95,126.5,108,-9,19.5,5
"929","Sinobatis melanosoma",-16.5,-16.5,-16.5,19.5,20,19.75
"930","Somniosus antarcticus",-65,-38.5,-54,-42.5,-19,-35
"931","Somniosus longus",-87.5,-80,-86.5,21,25.5,22
"932","Somniosus microcephalus",-19,36.5,9,-36.5,52.5,33.5
"933","Somniosus pacificus",-78,-77.5,-77.5,23.5,25,25
"934","Somniosus rostratus",-75,-55,-63.25,6,13,11
"935","Sphyrna corona",-97.5,-66,-81,24.5,42,30
"936","Sphyrna lewini",-113.5,-77.5,-93.5,-4,29,15.5
"937","Sphyrna media",-98,-80,-90.5,18,30.5,26.5
"938","Sphyrna mokarran",-114.5,-76.5,-87.5,-14,30,8.75
"939","Sphyrna tiburo",-76,-49.5,-64,-57,-30,-46
"940","Sphyrna tudes",-76.5,-70.5,-73,-43.5,-12.5,-35.5
"941","Sphyrna zygaena",-88.5,-72.5,-82,9,17,15.5
"942","Spiniraja whitleyi",-50,-44,-47,-32,-23.5,-27
"943","Squaliolus aliae",39,138.5,101.5,-10,35,11.5
"944","Squaliolus laticaudus",95,132,113.5,-9,41,9
"945","Squalus acanthias",-88,-34.5,-66,-6.5,22,12.5
"946","Squalus albicaudus",-19,36,2.5,3.5,66,40.5
"947","Squalus albifrons",13,27.5,17.5,-37,-23,-32.5
"948","Squalus altipinnis",-18.5,14,0.5,-17,21,4.5
"949","Squalus bahiensis",43,45,44,-12.5,-11.5,-12
"950","Squalus bassi",-62,-33.5,-49.5,-42,-13,-30.5
"951","Squalus blainville",-88,-71.5,-82,8.5,16.5,12
"952","Squalus brevirostris",-81,-71,-77.5,21,33.5,24.5
"953","Squalus bucephalus",-97.5,-69,-84,18.5,42.5,27.5
"954","Squalus chloroculus",-19,36,4,-6,67,39.5
"955","Squalus clarkae",119.5,137.5,127,25,38,31.5
"956","Squalus crassispinus",-84.5,-64,-77.75,17.5,30.5,24
"957","Squalus cubensis",-42,-34.5,-38.5,-23.5,-5.5,-14.5
"958","Squalus edmundsi",26.5,32.5,30,-34,-27.5,-31
"959","Squalus formosus",-2,176.5,96.5,-52.5,-12,-45.5
"960","Squalus grahami",-31,-29.5,-30,34,42,40.5
"961","Squalus griffini",-92.5,-87,-90.25,-25.5,-20.5,-23.5
"962","Squalus hawaiiensis",108,176,142.5,-51.5,-42,-46
"963","Squalus hemipinnis",137.5,139.5,138.5,33.5,35,34
"964","Squalus japonicus",-180,180,169.5,-54.5,-32.5,-43
"965","Squalus lalannei",-19.5,175.5,-11,-44,60.5,41.75
"966","Squalus lobularis",93,95,94.5,12.5,14,13.5
"967","Squalus mahia",113,130,121.5,5,29,21
"968","Squalus margaretsmithae",59,60.5,60,-9.5,-8,-9
"969","Squalus megalops",-42.5,133,118,-27,-7,-18
"970","Squalus melanurus",111.5,114,112.5,-26.5,-21,-23.5
"971","Squalus mitsukurii",150,153.5,151.75,-23,-16,-19.5
"972","Squalus montalbani",109.5,129.5,122.5,5.5,31,13.5
"973","Squalus nasutus",-75,179.5,167,-56.5,-32,-46.5
"974","Squalus notocaudatus",-99,176.5,135,-44.5,39.5,-24.5
"975","Squalus quasimodo",-82,30.5,-20.5,25.5,86.5,67
"976","Squalus rancureli",-180,180,-131.5,20.5,80,56.5
"977","Squalus raoulensis",-85,35,3,22.5,56.5,37
"978","Squalus suckleyi",-115,-70.5,-86.75,-18,31.5,11.75
"979","Squatina aculeata",-180,180,56.5,-36,44,7
"980","Squatina africana",-114,-34.5,-57.5,-34.5,30,3
"981","Squatina albipunctata",-157.5,171,11,-36,46,12
"982","Squatina argentina",-120.5,-34.5,-78,-34.5,43,16
"983","Squatina armata",-77.5,-34.5,-50,-37,12.5,-2
"984","Squatina australis",-177,180,18,-55,54,18
"985","Squatina californica",116.5,151,138.5,-45,-31.5,-36.5
"986","Squatina david",-95.5,-87,-89,28,29.5,28.5
"987","Squatina dumeril",-90,-61,-75.5,16,29.5,23.25
"988","Squatina formosa",113.5,155.5,124.5,-34.5,35,19
"989","Squatina guggenheim",-90.5,146,-25,-39.5,47.5,16
"990","Squatina japonica",-180,180,3,-57,72.5,41
"991","Squatina nebulosa",18,58,25.5,-35.5,-20,-34.5
"992","Squatina occulta",-46.5,-37,-38.5,-26,-11.5,-20
"993","Squatina oculata",146,155,153,-35,-15,-23
"994","Squatina pseudocellata",109,128.5,122,-18,20.5,9.5
"995","Squatina squatina",-38,-38,-38,-16,-16,-16
"996","Squatina tergocellata",14.5,36,22,-37,-23,-32
"997","Squatina tergocellatoides",-98,-95.5,-97,19.5,24,21.5
"998","Squatina varii",105.5,132.5,121.5,10.5,33.5,24.5
"999","Stegostoma fasciatum",164.5,170,168,-29,-20.5,-24
"1000","Sutorectus tentaculatus",113,152.5,145.5,-22,-2,-5.5
"1001","Sympterygia acuta",-97.5,-42.5,-76,-44,36.5,18
"1002","Sympterygia bonapartii",111.5,118.5,114,-33.5,-7.5,-21.5
"1003","Sympterygia brevicaudata",120,134.5,131.5,21.5,33.5,31
"1004","Sympterygia lima",144,155,152.5,-35,-11,-21
"1005","Taeniura grabata",93,117,111,-9,12,-7.25
"1006","Taeniura lessoni",-180,180,173.5,-46,-27.5,-38
"1007","Taeniura lymma",-158,-157.5,-157.75,21.5,21.5,21.5
"1008","Taeniurops meyeni",118,139.5,124.75,22,41,33
"1009","Temera hardwickii",24.5,54.5,36,-35,13,-21
"1010","Tetronarce californica",-13.5,26,14.5,-37,42.5,-25.5
"1011","Tetronarce cowleyi",112,155,138.5,-44,-19.5,-33.5
"1012","Tetronarce formosa",166,167,166.5,-23.5,-22.5,-23
"1013","Tetronarce nobiliana",107,143.5,124.5,16.5,44.5,34.5
"1014","Tetronarce occidentalis",105.5,157,122,-35,27,-16.5
"1015","Tetronarce puelcha",110,123.5,115,-31,20,-9.5
"1016","Tetronarce tokionis",146.5,153.5,150.5,-20.5,-14.5,-17.5
"1017","Tetronarce tremens",-58.5,-46,-51.5,-38,-26,-33.5
"1018","Torpedo adenensis",166.5,169,167.5,-18,-14.5,-16
"1019","Torpedo andersoni",-178,-177.5,-177.75,-29.5,-28.5,-29
"1020","Torpedo bauchotae",-180,180,-107.75,22,66.5,54
"1021","Torpedo fuscomaculata",-18.5,36,15.5,3.5,42,35.5
"1022","Torpedo mackayana",28,63.5,43.5,-34,13.5,-11.5
"1023","Torpedo marmorata",146.5,157,152.5,-39.5,-14.5,-21.5
"1024","Torpedo panthera",-81.5,-70,-74,-56,7,-43.5
"1025","Torpedo sinuspersici",114,153,137.5,-44.5,-29.5,-35.5
"1026","Torpedo suessii",-134,-109,-124,22,57,42
"1027","Torpedo torpedo",-83.5,-53,-66.5,5.5,13.5,10.5
"1028","Triaenodon obesus",-98,-64,-84.5,18,42.5,28.5
"1029","Triakis acutipinna",119.5,122.5,121,22,26,24
"1030","Triakis maculata",-65,-42,-54.5,-42,-22.5,-35
"1031","Triakis megalopterus",117.5,143,126,22.5,42,34.5
"1032","Triakis scyllium",117.5,143,128,23.5,45.5,35.5
"1033","Triakis semifasciata",-58.5,-42,-50,-38,-22.5,-31.5
"1034","Trigonognathus kabeyai",-18.5,36,13,-17.5,46,34.5
"1035","Trygonoptera galba",111.5,123,118,-25,-14.5,-19
"1036","Trygonoptera imitata",-19,36,3,20.5,62.5,41
"1037","Trygonoptera mucosa",114,136,124,-36.5,-29,-33.5
"1038","Trygonoptera ovalis",108.5,122.5,119.25,5,27,23
"1039","Trygonoptera personata",-40.5,-34.5,-37.5,-21.5,-9.5,-17.25
"1040","Trygonoptera testacea",-180,180,121,-35,33,-2
"1041","Trygonorrhina dumerilii",-95.5,-77.5,-87.5,-1.5,16,8.5
"1042","Trygonorrhina fasciata",-96.5,-51,-76,4,24,17
"1043","Typhlonarke aysoni",112.5,138.5,125,-36,-27,-33.5
"1044","Urobatis concentricus",-61.5,-42.5,-52.5,-41.5,-23,-34
"1045","Urobatis halleri",-75,-42,-61,-55,-23,-41.5
"1046","Urobatis jamaicensis",-81.5,-70,-74,-37,-3,-16
"1047","Urobatis maculatus",-74,-70.5,-73,-42,-26,-35.5
"1048","Urobatis pardalis",150,169.5,160,-17.5,-2,-8.5
"1049","Urobatis tumbesensis",30.5,162.5,112.5,-30.5,30.5,-0.5
"1050","Urogymnus asperrimus",-32,43.5,-1.5,-17,45.5,24
"1051","Urolophus armatus",-134,-114,-124.5,28,55,47.75
"1052","Urolophus aurantiacus",11.5,26.5,16,-37,-17,-30
"1053","Urolophus bucculentus",118,151,130.5,-3,37,31.5
"1054","Urolophus circularis",-96.5,36,-2,-36.5,61.5,36
"1055","Urolophus cruciatus",-96,-50.5,-73,4,46,31
"1056","Urolophus deforgesi",-67,-38,-56,-46,-18.5,-36
"1057","Urolophus expansus",119,146,130,21,43,31.5
"1058","Urolophus flavomosaicus",-91.5,-70,-78.5,-37,10.5,-6.75
"1059","Urolophus gigas",51.5,52.5,52,14.5,15.5,15
"1060","Urolophus javanicus",-88,-73,-81,11,30.5,24.5
"1061","Urolophus kapalensis",-18,14,4.25,-17,16,4.5
"1062","Urolophus lobatus",17,58,39.5,-37,-3.5,-21.5
"1063","Urolophus mitosis",-18,14,4.5,-17,16,4.5
"1064","Urolophus neocaledoniensis",-19,36,7,-34.5,59,36.5
"1065","Urolophus orarius",-81,-79,-80,-27.5,-25.5,-26.5
"1066","Urolophus papilio",33.5,85.5,51,12,30.5,22
"1067","Urolophus paucimaculatus",30,60,44.5,-31,30.5,14
"1068","Urolophus piperatus",43,43.5,43,13,14.5,13.75
"1069","Urolophus sufflavus",-19,36,8,-17,44.5,34.5
"1070","Urolophus viridis",-180,180,114.5,-30.5,31,-0.5
"1071","Urolophus westraliensis",-82,-79,-81,-6.5,2,-2
"1072","Urotrygon aspidura",-91.5,-70.5,-79,-18.5,0.5,-9
"1073","Urotrygon chilensis",11.5,32.5,20.5,-36.5,-15.5,-31.5
"1074","Urotrygon cimar",117.5,143,129,21,44.5,34.5
"1075","Urotrygon microphthalmum",-125.5,-108.5,-115.5,22,46,30
"1076","Urotrygon munda",-179,142.5,-159,18.5,34.5,24.5
"1077","Urotrygon nana",112,116,114,-32.5,-24.5,-28.5
"1078","Urotrygon reticulata",139.5,150.5,145.5,-40,-36,-38.5
"1079","Urotrygon rogersi",114.5,138.5,129.5,-36.5,-29.5,-33.5
"1080","Urotrygon simulatrix",114,129,118.5,-35.5,-28,-33
"1081","Urotrygon venezuelae",112.5,116,114,-33.5,-25,-28
"1082","Zameus ichiharai",-98,-58,-80.5,18,48,29.5
"1083","Zameus squamulosus",150,154,152.5,-37.5,-26.5,-32.5
"1084","Zanobatus schoenleinii",113.5,149,133,-41.5,-30.5,-35.5
"1085","Zapteryx brevirostris",150,154.5,153,-37.5,-27,-32.5
"1086","Zapteryx exasperata",-180,180,173.5,-48.5,-33,-42
"1087","Zapteryx xyster",-115.5,-95.5,-111.5,15.5,31.5,26
"1088","Zearaja argentinensis",30,41,35.5,-31.5,-10.5,-22
"1089","Zearaja chilensis",11.5,32.5,18.5,-36.5,-11.5,-30.5
"1090","Zearaja maugeana",-96.5,-48.5,-70.25,3.5,29.5,12
"1091","Zearaja nasuta",121.5,150.5,139.5,-45,-31.5,-37
